problem_idx	type	r_idx	position	token_text	classification	H	pi	max_pi	is_correct
0	Intermediate Algebra	2	222	This	ambiguous	1.4854	1.760681e-01	0.4224	False
0	Intermediate Algebra	2	226	 thought	ambiguous	2.3016	1.223314e-02	0.3575	False
0	Intermediate Algebra	2	232	 set	ambiguous	2.4638	6.506373e-02	0.2271	False
0	Intermediate Algebra	2	234	 all	ambiguous	1.4518	4.757606e-01	0.4758	False
0	Intermediate Algebra	2	250	 terms	ambiguous	1.4026	1.094178e-01	0.4904	False
0	Intermediate Algebra	2	281	 simpl	ambiguous	1.7686	3.343880e-01	0.3344	False
0	Intermediate Algebra	2	308	 so	ambiguous	1.3990	1.174185e-01	0.4098	False
0	Intermediate Algebra	2	309	 the	reasoning	1.5637	4.251417e-01	0.4251	False
0	Intermediate Algebra	2	312	 \(	noise	1.6835	2.165267e-01	0.3150	False
0	Intermediate Algebra	2	315	 includes	ambiguous	2.4521	4.440769e-02	0.1756	False
0	Intermediate Algebra	2	316	 all	ambiguous	2.2970	1.731836e-01	0.2224	False
0	Intermediate Algebra	2	317	 terms	ambiguous	1.5623	4.564076e-01	0.4564	False
0	Intermediate Algebra	2	325	 All	ambiguous	2.5309	8.719697e-03	0.2249	False
0	Intermediate Algebra	2	328	 are	ambiguous	2.1148	1.659992e-01	0.2737	False
0	Intermediate Algebra	2	329	 counted	ambiguous	1.7161	4.966165e-01	0.4966	False
0	Intermediate Algebra	2	332	 for	ambiguous	1.9368	5.281868e-02	0.3444	False
0	Intermediate Algebra	2	334	 pair	ambiguous	1.5425	4.898334e-01	0.4898	False
